"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","115",".find() - get descendant DOM elements of the selector","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","193","Control what is printed to the Command Log","Cypress APIs","2025-11-22","passed","2025-11-22","","Cypress.log","",""
"","134",".invoke() - invoke a function on the current subject","","2025-11-22","passed","2025-11-22","","Connectors","",""
"","109",".closest() - get closest ancestor DOM element","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","114",".filter() - get DOM elements that match the selector","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","110","cy.root() - query the root DOM element","","2025-11-22","passed","2025-11-22","","Querying","",""
"","15","cy.stub() matches depending on arguments","","2025-11-22","passed","2025-11-22","","Spies, Stubs, and Clock","",""
"","197","cy.clock() - control time in the browser","","2025-11-22","passed","2025-11-22","","Spies, Stubs, and Clock","",""
"","305","Get underlying OS name","Cypress APIs","2025-11-22","passed","2025-11-22","","Cypress.platform","",""
"","272","cy.readFile() - read file contents","","2025-11-22","passed","2025-11-22","","Files","",""
"","176","Get and set configuration options","Cypress APIs","2025-11-22","passed","2025-11-22","","Cypress.config()","",""
"","200","cy.wrap() - wrap an object","","2025-11-22","passed","2025-11-22","","Misc","",""
"","871","cy.request() - save response in the shared test context","","2025-11-22","passed","2025-11-22","","Network Requests","",""
"","94","cy.stub() - create a stub and/or replace a function with stub","","2025-11-22","passed","2025-11-22","","Spies, Stubs, and Clock","",""
"","109",".first() - get first DOM element","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","138","matches unknown text between two elements","Assertions","2025-11-22","passed","2025-11-22","","Explicit Assertions","",""
"","122","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2025-11-22","passed","2025-11-22","","Cypress.Screenshot","",""
"","2261","cy.scrollTo() - scroll the window or element to a position","","2025-11-22","passed","2025-11-22","","Actions","",""
"","104","cy.title() - get the title","","2025-11-22","passed","2025-11-22","","Window","",""
"","110",".parents() - get parent DOM elements from DOM elements","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","1628","retries the should callback until assertions pass","Assertions","2025-11-22","passed","2025-11-22","","Explicit Assertions","",""
"","1106","Cypress.Promise - instantiate a bluebird promise","","2025-11-22","passed","2025-11-22","","Utilities","",""
"","184","cy.getAllLocalStorage() - get all data in localStorage for all origins","","2025-11-22","passed","2025-11-22","","Local Storage / Session Storage","",""
"","171","finds element by class name regex","Assertions","2025-11-22","passed","2025-11-22","","Explicit Assertions","",""
"","282","can throw any error","Assertions","2025-11-22","passed","2025-11-22","","Explicit Assertions","",""
"","123","Get CPU architecture name of underlying OS","Cypress APIs","2025-11-22","passed","2025-11-22","","Cypress.arch","",""
"","508","cy.wait() - wait for a specific route","","2025-11-22","passed","2025-11-22","","Waiting","",""
"","180","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","","2025-11-22","passed","2025-11-22","","Local Storage / Session Storage","",""
"","175","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","","2025-11-22","passed","2025-11-22","","Local Storage / Session Storage","",""
"","568","Cypress.Blob - blob utilities and base64 string conversion","","2025-11-22","passed","2025-11-22","","Utilities","",""
"","465","cy.window() - get the global window object","","2025-11-22","passed","2025-11-22","","Window","",""
"","1237",".as() - alias a DOM element for later use","","2025-11-22","passed","2025-11-22","","Aliasing","",""
"","835","Cypress._ - call a lodash method","","2025-11-22","passed","2025-11-22","","Utilities","",""
"","876",".uncheck() - uncheck a checkbox element","","2025-11-22","passed","2025-11-22","","Actions","",""
"","3313","cy.viewport() - set the viewport size and dimension","","2025-11-22","passed","2025-11-22","","Viewport","",""
"","202",".dblclick() - double click on a DOM element","","2025-11-22","passed","2025-11-22","","Actions","",""
"","2024",".click() - click on a DOM element","","2025-11-22","passed","2025-11-22","","Actions","",""
"","678","best practices - selecting elements","","2025-11-22","passed","2025-11-22","","Querying","",""
"","901",".each() - iterate over an array of elements","","2025-11-22","passed","2025-11-22","","Connectors","",""
"","134","yields the returned value to the next command","Connectors","2025-11-22","passed","2025-11-22","",".then()","",""
"","15611","displays two todo items by default","","2025-11-22","passed","2025-11-22","","example to-do app","",""
"","752","cy.getCookie() - get a browser cookie","","2025-11-22","passed","2025-11-22","","Cookies","",""
"","230","cy.fixture() or require - load a fixture","","2025-11-22","passed","2025-11-22","","Files","",""
"","134","yields the original subject without return","Connectors","2025-11-22","passed","2025-11-22","",".then()","",""
"","3234","cy.fixture() - load a fixture","","2025-11-22","passed","2025-11-22","","Files","",""
"","2511","cy.exec() - execute a system command","","2025-11-22","passed","2025-11-22","","Misc","",""
"","114",".within() - query DOM elements within a specific element","","2025-11-22","passed","2025-11-22","","Querying","",""
"","283","can filter for uncompleted tasks","example to-do app","2025-11-22","passed","2025-11-22","","with a checked task","",""
"","126",".focus() - focus on a DOM element","","2025-11-22","passed","2025-11-22","","Actions","",""
"","105",".siblings() - get all sibling DOM elements","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","429",".submit() - submit a form","","2025-11-22","passed","2025-11-22","","Actions","",""
"","120",".next() - get next sibling DOM element","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","1681","cy.go() - go back or forward in the browser's history","","2025-11-22","passed","2025-11-22","","Navigation","",""
"","19","matches call arguments using Sinon matchers","","2025-11-22","passed","2025-11-22","","Spies, Stubs, and Clock","",""
"","190","Cypress.$ - call a jQuery method","","2025-11-22","passed","2025-11-22","","Utilities","",""
"","4186",".type() - type into a DOM element","","2025-11-22","passed","2025-11-22","","Actions","",""
"","2010",".as() - alias a route for later use","","2025-11-22","passed","2025-11-22","","Aliasing","",""
"","104",".parent() - get parent DOM element from DOM elements","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","453",".children() - get child DOM elements","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","753","cy.writeFile() - write to a file","","2025-11-22","passed","2025-11-22","","Files","",""
"","2768","cy.hash() - get the current URL hash","","2025-11-22","passed","2025-11-22","","Location","",""
"","528",".clear() - clears an input or textarea element","","2025-11-22","passed","2025-11-22","","Actions","",""
"","87","cy.document() - get the document object","","2025-11-22","passed","2025-11-22","","Window","",""
"","166","Get current spec information","Cypress APIs","2025-11-22","passed","2025-11-22","","Cypress.spec","",""
"","410","can add new todo items","","2025-11-22","passed","2025-11-22","","example to-do app","",""
"","425","cy.reload() - reload the page","","2025-11-22","passed","2025-11-22","","Navigation","",""
"","774","cy.request() - pass result to the second request","","2025-11-22","passed","2025-11-22","","Network Requests","",""
"","2234",".select() - select an option in a <select> element","","2025-11-22","passed","2025-11-22","","Actions","",""
"","141","Get current version of Cypress being run","Cypress APIs","2025-11-22","passed","2025-11-22","","Cypress.version","",""
"","209","cy.clearAllCookies() - clear all browser cookies","","2025-11-22","passed","2025-11-22","","Cookies","",""
"","350","cy.visit() - visit a remote url","","2025-11-22","passed","2025-11-22","","Navigation","",""
"","701","cy.clearLocalStorage() - clear all data in localStorage for the current origin","","2025-11-22","passed","2025-11-22","","Local Storage / Session Storage","",""
"","115",".not() - remove DOM elements from set of DOM elements","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","161",".and() - chain multiple assertions together","Assertions","2025-11-22","passed","2025-11-22","","Implicit Assertions","",""
"","285","can filter for completed tasks","example to-do app","2025-11-22","passed","2025-11-22","","with a checked task","",""
"","810",".add() - create a custom command","Cypress APIs","2025-11-22","passed","2025-11-22","","Cypress.Commands","",""
"","129","invokes a callback function with the current subject","Connectors","2025-11-22","passed","2025-11-22","",".then()","",""
"","265","cy.location() - get window.location","","2025-11-22","passed","2025-11-22","","Location","",""
"","106",".parentsUntil() - get parent DOM elements from DOM elements until el","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","255","cy.clearCookie() - clear a browser cookie","","2025-11-22","passed","2025-11-22","","Cookies","",""
"","159","pass your own callback function to should()","Assertions","2025-11-22","passed","2025-11-22","","Explicit Assertions","",""
"","124",".nextUntil() - get next sibling DOM elements until next el","","2025-11-22","passed","2025-11-22","","Traversal","",""
"","187",".rightclick() - right click on a DOM element","","2025-11-22","passed","2025-11-22","","Actions","",""
"","117","assert - assert shape of an object","Assertions","2025-11-22","passed","2025-11-22","","Explicit Assertions","",""
"","113","cy.setCookie() - set a browser cookie","","2025-11-22","passed","2025-11-22","","Cookies","",""
